Date,Open,High,Low,Close,Adj Close,Volume
2022-06-14,4.466000,4.476880,4.429880,4.466000,4.466000,0
2022-06-15,4.460020,4.501250,4.440800,4.460020,4.460020,0
2022-06-16,4.459900,4.542370,4.452800,4.459900,4.459900,0
2022-06-17,4.479200,4.490090,4.453910,4.479200,4.479200,0
2022-06-20,4.459500,4.461500,4.409600,4.459500,4.459500,0
2022-06-21,4.415700,4.417450,4.385000,4.415700,4.415700,0
2022-06-22,4.401510,4.466150,4.400400,4.401510,4.401510,0
2022-06-23,4.444500,4.492750,4.436900,4.444500,4.444500,0
2022-06-24,4.466300,4.480850,4.438800,4.466300,4.466300,0
2022-06-27,4.433100,4.456100,4.413400,4.433100,4.433100,0
2022-06-28,4.423700,4.464630,4.409600,4.423700,4.423700,0
2022-06-29,4.459900,4.478400,4.440500,4.459900,4.459900,0
2022-06-30,4.466990,4.518420,4.451600,4.466990,4.466990,0
2022-07-01,4.483100,4.536650,4.480000,4.483100,4.483100,0
2022-07-04,4.497200,4.529080,4.487500,4.497200,4.497200,0
2022-07-05,4.516300,4.655780,4.511400,4.516300,4.516300,0
2022-07-06,4.621650,4.719230,4.614900,4.621650,4.621650,0
2022-07-07,4.681500,4.719150,4.664400,4.681500,4.681500,0
2022-07-08,4.700200,4.761400,4.677350,4.700200,4.700200,0
2022-07-11,4.689500,4.777020,4.689600,4.689500,4.689500,0
2022-07-12,4.778600,4.849060,4.772790,4.778600,4.778600,0
2022-07-13,4.798300,4.841200,4.769900,4.798300,4.798300,0
2022-07-14,4.814300,4.838240,4.792100,4.814300,4.814300,0
2022-07-15,4.805450,4.811910,4.728500,4.805450,4.805450,0
2022-07-18,4.736200,4.741600,4.684400,4.736200,4.736200,0
2022-07-19,4.693470,4.735900,4.627640,4.693470,4.693470,0
2022-07-20,4.644200,4.703950,4.621400,4.644200,4.644200,0
2022-07-21,4.685000,4.687550,4.629600,4.685000,4.685000,0
2022-07-22,4.656800,4.707150,4.621450,4.656800,4.656800,0
2022-07-25,4.642321,4.653500,4.578364,4.642321,4.642321,0
2022-07-26,4.618800,4.709700,4.602703,4.618800,4.618800,0
2022-07-27,4.693147,4.747154,4.678509,4.693147,4.693147,0
2022-07-28,4.685052,4.739100,4.673300,4.685052,4.685052,0
2022-07-29,4.667036,4.675050,4.612990,4.667036,4.667036,0
2022-08-01,4.634445,4.639741,4.579179,4.634445,4.634445,0
2022-08-02,4.595000,4.639561,4.581923,4.595000,4.595000,0
2022-08-03,4.648800,4.656900,4.596991,4.648800,4.648800,0
2022-08-04,4.620693,4.643748,4.612005,4.620693,4.620693,0
2022-08-05,4.591559,4.643392,4.588850,4.591559,4.591559,0
2022-08-08,4.628754,4.634900,4.596585,4.628754,4.628754,0
2022-08-09,4.604054,4.617421,4.582992,4.604054,4.604054,0
2022-08-10,4.602500,4.620205,4.505624,4.602500,4.602500,0
2022-08-11,4.537300,4.552390,4.511509,4.537300,4.537300,0
2022-08-12,4.538160,4.557970,4.531873,4.538160,4.538160,0
2022-08-15,4.539346,4.603683,4.534781,4.539346,4.539346,0
2022-08-16,4.605800,4.645350,4.593100,4.605800,4.605800,0
2022-08-17,4.575629,4.634917,4.573291,4.575629,4.575629,0
2022-08-18,4.616201,4.676063,4.609370,4.616201,4.616201,0
2022-08-19,4.685128,4.731860,4.679653,4.685128,4.685128,0
2022-08-22,4.729418,4.798551,4.722482,4.729418,4.729418,0
2022-08-23,4.786693,4.820950,4.764200,4.786693,4.786693,0
2022-08-24,4.785640,4.814072,4.766200,4.785640,4.785640,0
2022-08-25,4.780157,4.782720,4.740300,4.780157,4.780157,0
2022-08-26,4.750360,4.761929,4.704370,4.750360,4.750360,0
2022-08-29,4.768196,4.788080,4.714958,4.768196,4.768196,0
2022-08-30,4.725155,4.739890,4.702905,4.725155,4.725155,0
2022-08-31,4.709600,4.749570,4.680216,4.709600,4.709600,0
2022-09-01,4.701691,4.756200,4.688425,4.701691,4.701691,0
2022-09-02,4.734895,4.736219,4.678906,4.734895,4.734895,0
2022-09-05,4.758430,4.791459,4.748583,4.758430,4.758430,0
2022-09-06,4.749783,4.783750,4.712350,4.749783,4.749783,0
2022-09-07,4.779235,4.793432,4.732400,4.779235,4.779235,0
2022-09-08,4.712384,4.745010,4.694615,4.712384,4.712384,0
2022-09-09,4.699795,4.705700,4.651764,4.699795,4.699795,0
2022-09-12,4.656234,4.660256,4.603838,4.656234,4.656234,0
2022-09-13,4.630500,4.724020,4.614471,4.630500,4.630500,0
2022-09-14,4.725900,4.744299,4.707700,4.725900,4.725900,0
2022-09-15,4.722915,4.745990,4.712328,4.722915,4.722915,0
2022-09-16,4.730777,4.745982,4.702610,4.730777,4.730777,0
2022-09-19,4.705800,4.733040,4.700049,4.705800,4.705800,0
2022-09-20,4.689900,4.750407,4.678499,4.689900,4.689900,0
2022-09-21,4.738750,4.840550,4.735250,4.738750,4.738750,0
2022-09-22,4.858516,4.873090,4.813750,4.858516,4.858516,0
2022-09-23,4.826805,4.891975,4.821131,4.826805,4.826805,0
2022-09-26,4.894327,4.948941,4.891724,4.894327,4.894327,0
2022-09-27,4.941400,4.980540,4.910943,4.941400,4.941400,0
2022-09-28,4.987046,5.058050,4.968840,4.987046,4.987046,0
2022-09-29,4.954200,5.049945,4.949000,4.954200,4.954200,0
2022-09-30,4.935809,4.989170,4.926605,4.935809,4.935809,0
2022-10-03,4.943300,4.963200,4.896700,4.943300,4.943300,0
2022-10-04,4.906400,4.920970,4.819900,4.906400,4.906400,0
2022-10-05,4.817180,4.915250,4.807100,4.817180,4.817180,0
2022-10-06,4.859000,4.993060,4.852600,4.859000,4.859000,0
2022-10-07,4.989500,5.005050,4.946820,4.989500,4.989500,0
2022-10-10,4.987100,5.037700,4.981070,4.987100,4.987100,0
2022-10-11,5.001400,5.026260,4.966210,5.001400,5.001400,0
2022-10-12,4.999900,5.010890,4.973500,4.999900,4.999900,0
2022-10-13,4.988674,5.031280,4.915030,4.988674,4.988674,0
2022-10-14,4.914600,4.974630,4.892620,4.914600,4.914600,0
2022-10-17,4.945800,4.982280,4.882080,4.945800,4.945800,0
2022-10-18,4.872320,4.898620,4.853180,4.872320,4.872320,0
2022-10-19,4.850050,4.910350,4.847940,4.850050,4.850050,0
2022-10-20,4.916600,4.924570,4.839800,4.916600,4.916600,0
2022-10-21,4.880430,4.930750,4.839860,4.880430,4.880430,0
2022-10-24,4.837300,4.884100,4.834100,4.837300,4.837300,0
2022-10-25,4.839680,4.856010,4.767800,4.839680,4.839680,0
2022-10-26,4.784200,4.793500,4.700240,4.784200,4.784200,0
2022-10-27,4.696200,4.752490,4.696500,4.696200,4.696200,0
2022-10-28,4.734800,4.762450,4.721200,4.734800,4.734800,0
2022-10-31,4.738500,4.772180,4.732450,4.738500,4.738500,0
2022-11-01,4.767070,4.771000,4.725900,4.767070,4.767070,0
2022-11-02,4.758200,4.766970,4.740800,4.758200,4.758200,0
